subject,step1,step2,final,error
sub-003,0.2217,0.103364,0.0810973,
sub-007,0.214437,0.12873,0.0865994,
sub-012,0.233086,0.121827,0.087402,
sub-014,0.21279,0.137748,0.0850247,
sub-017,0.210634,0.133482,0.0703747,
sub-020,0.206401,0.108923,0.0690435,
sub-023,0.231612,0.12341,0.0867963,
sub-025,0.233601,0.136926,0.0786891,
sub-026,0.269441,0.1734,0.0846909,
sub-028,0.236167,0.122789,0.124774,
sub-029,0.224027,0.134216,0.10697,
sub-030,0.220711,0.132867,0.108751,
sub-031,0.209296,0.134518,0.0993045,
sub-032,0.226776,0.174785,0.106666,
sub-033,0.234267,0.122674,0.0969949,
sub-035,0.223423,0.131083,0.100982,
sub-036,0.207832,0.133082,0.0911403,
sub-037,0.234827,0.131832,0.0987893,
sub-038,0.215533,0.161273,0.0782873,
